SUBJECT,COURSE,SECTION,courseTitle,BOOKTITLE,ISBN,PUBLISHER,REQUIRED,PRICES,MinPrice,enrollment,MinVal
NURS,4110,90299,CARING FOR CHILDBEARING FAM,Maternity & Pediatric Nursing (Course Point+ Enhanced Access Card),9781975156794,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $306.65,",306.65,105.0,32198.249999999996
ACCT,2101,84196,PRIN OF ACCT I,GEORGIA STATE UNIVERSITY ACCT 2101,9781266245626,McGraw-Hill Higher Education,Required,"Digital $96.00,",96.0,328.0,31488.0
NURS,3530,90289,MEDICAL SURGICAL II,Brunner & Suddarth's Medical-Surgical Nursing (CoursePoint+ Enhanced Access Card),9781975186777,LIPPINCOTT WILLIAMS & WILKINS,Required,"New $319.99,",319.99,98.0,31359.02
ACCT,2101,86090,PRIN OF ACCT I,GEORGIA STATE UNIVERSITY ACCT 2101,9781266245626,McGraw-Hill Higher Education,Required,"Digital $96.00,",96.0,308.0,29568.0
POLS,1101,83249,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,361.0,27075.0
ACCT,2101,80951,PRIN OF ACCT I,GEORGIA STATE UNIVERSITY ACCT 2101,9781266245626,McGraw-Hill Higher Education,Required,"Digital $96.00,",96.0,248.0,23808.0
NURS,2200,90282,INTRO TO CLINICAL NUTRITION,Nutrit Essent Nurs Pract 9e (us Ed),9781975161125,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $106.99,",106.99,197.0,21077.03
FI,3300,80506,CORPORATION FINANCE,Lectures in Corporate Finance (w/Webcom Access),9781465201478,Kendall Hunt Publishing Company,Required,"New $152.81,",152.81,130.0,19865.3
LAW,7216,92454,FAMILY LAW,Family Law,9781543838886,Aspen Publishing,Required,"New $345.00, Digital $352.00,",345.0,56.0,19320.0
PSYC,1101,82545,INTRO TO GENERAL PSYCHOLOGY,Achieve for Exploring Psychology (1-Term),9781319369903,MPS (Macmillan Publishers),Required,"Digital $83.25,",83.25,232.0,19314.0
NUTR,2100,82787,PRINCIPLES OF NUTRITION,Understanding Nutrition,9780357447512,Cengage Learning,Required,"Used $115.19, Digital $50.99, Digital $69.99, Used $205.75, New $274.25, Digital $88.99,",50.99,377.0,19223.23
BIOL,2260,80052,FOUNDATIONS OF MICROBIOLOGY,Connect Online Access for Nester's Microbiology: A Human Perspective,9781264341979,McGraw-Hill,Required,"Digital $137.00,",137.0,137.0,18769.0
