0,1,2,3,4,5,6,7,8,9,10,11,12,13
CHEM,2400,81247,403,Organic Chemistry 10e,Required,"New $42.25, New $65.00,",Edition: 10th,ISBN: 9781711471853,Author: Openstax,Publisher: Kendall Hunt Publishing Company,Formats: PAPERBACK,Copyright Year: 2023,Publication Date: TBD
PSYC,1101,86610,403,NO BOOKS FOR COURSE,,,,,,,,,
CIS,3205,90933,403,NO BOOKS FOR COURSE,,,,,,,,,
NURS,2200,90282,403,Nutrit Essent Nurs Pract 9e (us Ed),Required,"New $106.99,",Edition: 9th,ISBN: 9781975161125,Author: Dudek,Publisher: Wolters Kluwer Health / Lippincott Williams & Wilkins,Formats: PAPERBACK,Publication Date: TBD,
POLS,1101,87422,403,Custom Authoring Bundle: Understanding the American Way of Government & Politics,Required,"Digital $75.00,",Edition: 1st,ISBN: 9781774947180,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
BUSA,1105,86651,403,"Free ""Open Educational Resources"" are required for this course. Please see your Instructor.",,,,,,,,,
PERS,2002,92137,403,NO BOOKS FOR COURSE,,,,,,,,,
POLS,1101,86672,403,Custom Authoring Bundle: Understanding the American Way of Government & Politics,Required,"Digital $75.00,",Edition: 1st,ISBN: 9781774947180,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
POLS,1101,86677,403,Custom Authoring Bundle: Understanding the American Way of Government & Politics,Required,"Digital $75.00,",Edition: 1st,ISBN: 9781774947180,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
CHEM,2400,80075,403,Molecular Model Kit,Recommended,"New $31.50,",Edition: 2nd,ISBN: 9780615377193,Author: Andrus Education,Publisher: Andrus Educational Supplies,,Copyright Year: 2005,Publication Date: TBD
CHEM,2410,84840,403,NO BOOKS FOR COURSE,,,,,,,,,
CRJU,2200,82141,403,NO BOOKS FOR COURSE,,,,,,,,,
PERS,2002,89497,403,NO BOOKS FOR COURSE,,,,,,,,,
MGT,3400,80528,403,GEORGIA STATE UNIVERSITY MGT 3400,Required,"Digital $53.50,",Edition: 8th,ISBN: 9781265490317,Author: Colquitt,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
PERS,2001,84683,403,Food & Culture,Recommended,"Used $115.19, New $219.40, Digital $50.99, Digital $69.99, Used $205.75, New $274.25, Digital $88.99,",Edition: 7th,ISBN: 9781305628052,Author: Kittler,Publisher: Cengage Learning,"Formats: PAPERBACK, BryteWave Format",Copyright Year: 2016,Publication Date: TBD
CHEM,1152,87068,403,"6th Edition: Modified Mastering Chemistry with Pearson eText -- Access Card -- General, Organic, and Biological Chemistry: Structures of Life (18-Weeks)",Required,"Digital $113.50,",Edition: 6th,ISBN: 9780136909118,Author: Timberlake,Publisher: Pearson,Formats: BryteWave Format,Publication Date: TBD,
NUTR,2100,88873,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
NUTR,2100,88873,403,Understanding Nutrition,Recommended,"Used $115.19, Digital $50.99, Used $205.75, New $274.25,",Edition: 16th,ISBN: 9780357447512,Author: Whitney,Publisher: Cengage Learning,"Formats: Hardcover, BryteWave Format",Copyright Year: 2022,Publication Date: TBD
CHEM,1151,87067,403,NO BOOKS FOR COURSE,,,,,,,,,
BIOL,2260,80052,403,Connect Online Access for Nester's Microbiology: A Human Perspective,Required,"Digital $137.00,",Edition: 10th,ISBN: 9781264341979,Author: Anderson,Publisher: McGraw-Hill,Formats: BryteWave Format,Publication Date: TBD,
CIS,3980,90966,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CSC,3350,90959,403,NO BOOKS FOR COURSE,,,,,,,,,
FI,3300,80506,403,Lectures in Corporate Finance (w/Webcom Access),Required,"New $152.81,",Edition: 6th,ISBN: 9781465201478,Author: Kale,Publisher: Kendall Hunt Publishing Company,,Copyright Year: 2013,Publication Date: TBD
ECON,2100,87370,403,Intro to the Global Economy (Access code Pak),Required,"New $123.00,",Edition: 3rd,ISBN: 9781792462061,Author: Kagundu,Publisher: Kendall Hunt Publishing Company,,Copyright Year: 2021,Publication Date: TBD
CHEM,4600,80078,403,Biochemistry,Required,"Used $201.60, Digital $107.99, Used $360.00,",Edition: 9th,ISBN: 9781319114671,Author: Berg,Publisher: W. H. Freeman & Company,"Formats: Hardcover, BryteWave Format",Copyright Year: 2019,Publication Date: TBD
CHEM,4600,80078,403,Student Companion to Accompany Biochemistry,Required,"Digital $41.99,",Edition: 9th,ISBN: 9781319251857,Author: Stryer,Publisher: Bedford Saint Martin's (MPS),Formats: BryteWave Format,Publication Date: TBD,
ECON,2105,87373,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2105,87375,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2106,87381,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2105,87374,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2105,89867,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2106,87385,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2100,82070,403,Intro to the Global Economy (Access code Pak),Required,"New $123.00,",Edition: 3rd,ISBN: 9781792462061,Author: Kagundu,Publisher: Kendall Hunt Publishing Company,,Copyright Year: 2021,Publication Date: TBD
ECON,2105,87372,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2100,88895,403,Intro to the Global Economy (Access code Pak),Required,"New $123.00,",Edition: 3rd,ISBN: 9781792462061,Author: Kagundu,Publisher: Kendall Hunt Publishing Company,,Copyright Year: 2021,Publication Date: TBD
SOCI,3201,83057,403,"Wealth, Power, & Inequality (First Edition)",Required,"Used $57.10, New $107.06, Digital $121.46, Used $107.25, New $142.75, Digital $134.95,",ISBN: 9781621319412,Author: Ainsworth,Publisher: University Readers,"Formats: PAPERBACK, BryteWave Format",Publication Date: TBD,,
ECON,2106,87379,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
POLS,1101,86674,403,Custom Authoring Bundle: Understanding the American Way of Government & Politics,Required,"Digital $75.00,",Edition: 1st,ISBN: 9781774947180,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
NURS,3066,90275,403,Pharmacology & the Nursing Process,Required,"Used $50.40, New $100.79, Used $94.50, New $125.99, Digital $107.99,",Edition: 10th,ISBN: 9780323827973,Author: Lilley,Publisher: Elsevier Health,"Formats: PAPERBACK, BryteWave Format",Copyright Year: 2022,Publication Date: TBD
BIOL,4960,80942,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
ANTH,1102,86581,403,NO BOOKS FOR COURSE,,,,,,,,,
NURS,3080,90276,403,Nursing Care Plans,Required,"Used $29.82, Used $53.25, New $70.99, Digital $62.99,",Edition: 10th,ISBN: 9780323711180,Author: Gulanick,Publisher: Elsevier HlthSciences Division,"Formats: PAPERBACK, BryteWave Format",Copyright Year: 2021,Publication Date: TBD
CSC,8900,81170,403,NO BOOKS FOR COURSE,,,,,,,,,
ECON,2100,87369,403,Intro to the Global Economy (Access code Pak),Required,"New $123.00,",Edition: 3rd,ISBN: 9781792462061,Author: Kagundu,Publisher: Kendall Hunt Publishing Company,,Copyright Year: 2021,Publication Date: TBD
ECON,2106,84189,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2102,82556,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
ACCT,2102,82556,403,"Accounting: Tools for Business Decision Making, 8e WileyPLUS API Single Term",Required,"Digital $93.50,",Edition: 8th,ISBN: 9781119799757,Author: Kimmel,"Publisher: John Wiley & Sons, Incorporated",Formats: Adobe Digital Editions,Copyright Year: 2022,Publication Date: TBD
POLS,1101,86764,403,Custom Authoring Bundle: Understanding the American Way of Government & Politics,Required,"Digital $75.00,",Edition: 1st,ISBN: 9781774947180,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
POLS,2401,82322,403,"Bundle: Global Issues, Brown + TH Classroom Digital",Required,"Digital $86.25,",Edition: 1st,ISBN: 9781778772887,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
ACCT,2101,87486,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
ACCT,2101,87486,403,GEORGIA STATE UNIVERSITY ACCT 2101-2102,Required Choose Only 1 of 2,"Digital $170.75,",Edition: 9th,ISBN: 9781264929467,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2101,87486,403,GEORGIA STATE UNIVERSITY ACCT 2101,Required Choose Only 1 of 2,"Digital $96.00,",Edition: 9th,ISBN: 9781266245626,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2105,82909,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2105,88582,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ECON,2106,84215,403,Georgia State University ECON 2105 Principles of Economics,Required,"Digital $53.50,",Edition: 3rd,ISBN: 9781265679767,Author: Asarta,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
SCOM,2050,83552,403,GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,Required,"Digital $100.00,",Edition: 12th,ISBN: 9781266454493,Author: Baran,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
MATH,1401,86394,403,"Elementary Statistics, Face-to-Face (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152168,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
MATH,1401,86692,403,"Elementary Statistics, Online only (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152175,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2020,Publication Date: TBD
POLS,2401,86683,403,"Bundle: Global Issues, Brown + TH Classroom Digital",Required,"Digital $86.25,",Edition: 1st,ISBN: 9781778772887,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
MATH,1401,93324,403,"Elementary Statistics, Online only (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152175,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2020,Publication Date: TBD
MATH,1401,86694,403,"Elementary Statistics, Face-to-Face (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152168,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
MATH,1401,86391,403,"Elementary Statistics, Face-to-Face (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152168,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
MATH,1401,86390,403,"Elementary Statistics, Face-to-Face (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152168,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
BIOL,3021,85632,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
MATH,1401,88255,403,"Elementary Statistics, Online only (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152175,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2020,Publication Date: TBD
MATH,1401,86398,403,"Elementary Statistics, Online only (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152175,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2020,Publication Date: TBD
MATH,1401,86785,403,"Elementary Statistics, Face-to-Face (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152168,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
MATH,1401,87756,403,"Elementary Statistics, Face-to-Face (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152168,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
PSYC,1100,80790,403,The Mind's Machine,Required,"Digital $74.98,",Edition: 4th,ISBN: 9780197542248,Author: Watson,Publisher: Oxford University Press Canada,Formats: BryteWave Format,Publication Date: TBD,
PSYC,1100,80790,403,The Mind's Machine,Required,"Digital $64.99,",Edition: 4th,ISBN: 9780197542248,Author: Watson,Publisher: Oxford University Press Canada,Formats: BryteWave Format,Publication Date: TBD,
PSYC,1100,80790,403,The Mind's Machine,Required,"Digital $99.98,",Edition: 4th,ISBN: 9780197542248,Author: Watson,Publisher: Oxford University Press Canada,Formats: BryteWave Format,Publication Date: TBD,
PSYC,1100,80790,403,Mind's Machine (w/bind in access code),Recommended,"Used $76.86, Used $137.25, New $182.99,",Edition: 4th,ISBN: 9781605359731,Author: Watson,Publisher: Oxford University Press C/O INGRAM DISTRIBUTION SOLUTIONS,Formats: PAPERBACK,Copyright Year: 2020,Publication Date: TBD
CPS,3500,84823,403,Stress Management for Life,Required,"Used $65.60, Digital $50.99, Used $123.00, New $164.00,",Edition: 5th,ISBN: 9780357363966,Author: Olpin,Publisher: Cengage Learning,"Formats: PAPERBACK, BryteWave Format",Copyright Year: 2021,Publication Date: TBD
MATH,1401,86392,403,"Elementary Statistics, Online only (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152175,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2020,Publication Date: TBD
MATH,1401,88352,403,"Elementary Statistics, Online only (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152175,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2020,Publication Date: TBD
CHEM,2410,84184,403,NO BOOKS FOR COURSE,,,,,,,,,
SOCI,1160,86667,403,Focus on Social Problems,Required,"Digital $43.99, Digital $50.76, New $102.99, Digital $67.68,",Edition: 2nd,ISBN: 9780190936419,Author: Stombler,Publisher: Oxford University Press C/O INGRAM DISTRIBUTION SOLUTIONS,"Formats: PAPERBACK, BryteWave Format",Copyright Year: 2020,Publication Date: TBD
MATH,1401,86393,403,"Elementary Statistics, Face-to-Face (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152168,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
SCOM,2050,89350,403,GEORGIA STATE UNIVERSITY- SCOM 2050: FOLLETT CUSTOM SITE CCS ECOMM BILLING Connect for Introduction to Mass Communication,Required,"Digital $100.00,",Edition: 12th,ISBN: 9781266454493,Author: Baran,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2023,Publication Date: TBD
FI,4090,85848,403,NO BOOKS FOR COURSE,,,,,,,,,
GEOL,1121,87911,403,Essen of Geology (w/Smartwork + Student Site + 3D Models),Required Choose Only 1 of 2,"Used $66.60, Used $125.00, New $166.50,",Edition: 7th,ISBN: 9780393882728,Author: Marshak,"Publisher: W. W. Norton & Company, Incorporated",Formats: PAPERBACK,Copyright Year: 2022,Publication Date: TBD
GEOL,1121,87911,403,Essen of Geology (SmartWork Access Card),Required Choose Only 1 of 2,"New $94.75,",Edition: 7th,ISBN: 9780393883084,Author: Marshak,"Publisher: W. W. Norton & Company, Incorporated",,Copyright Year: 2022,Publication Date: TBD
MATH,1401,91352,403,"Elementary Statistics, Online only (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152175,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2020,Publication Date: TBD
BIOL,1103,91663,403,"Modified Mastering Biology with eText Electronic Access Code for Biology: Science for Life with Physiology, 6e, for GEORGIA STATE UNIVERSITY",Required,"Digital $66.75,",ISBN: 9780138304577,Author: Solutions,Publisher: Pearson,Formats: BryteWave Format,Publication Date: TBD,,
BIOL,1103,91662,403,"Modified Mastering Biology with eText Electronic Access Code for Biology: Science for Life with Physiology, 6e, for GEORGIA STATE UNIVERSITY",Required,"Digital $66.75,",ISBN: 9780138304577,Author: Solutions,Publisher: Pearson,Formats: BryteWave Format,Publication Date: TBD,,
BIOL,1103,91665,403,"Modified Mastering Biology with eText Electronic Access Code for Biology: Science for Life with Physiology, 6e, for GEORGIA STATE UNIVERSITY",Required,"Digital $66.75,",ISBN: 9780138304577,Author: Solutions,Publisher: Pearson,Formats: BryteWave Format,Publication Date: TBD,,
BIOL,3880,87793,403,"Microbiology w/Ebook, Smartwork, Animations, & eAppendicies",Required,"Digital $107.66, New $228.00,",Edition: 6th,ISBN: 9781324033523,Author: Slonczewski,Publisher: W. W.Norton Co. Inc,Formats: BryteWave Format,Copyright Year: 2023,Publication Date: TBD
NURS,4115,90300,403,Pediatrics Digital Clinical Experiences - Access Card,Required,"New $174.75,",ISBN: 9780323753913,Author: Shadowhealth,Publisher: Elsevier Hlth Science,,Publication Date: TBD,,
NURS,4115,90300,403,Lippincott CoursePoint+ for Kyle & Carman: Essentials of Pediatric Nursing,Required,"New $266.67,",Edition: 3rd,ISBN: 9781496352934,Author: Kyle,Publisher: Wolters Kluwer Health / Lippincott Williams & Wilkins,,Copyright Year: 2016,Publication Date: TBD
BIOL,1104,91668,403,"Modified Mastering Biology with eText Electronic Access Code for Biology: Science for Life with Physiology, 6e, for GEORGIA STATE UNIVERSITY",Required,"Digital $66.75,",ISBN: 9780138304577,Author: Solutions,Publisher: Pearson,Formats: BryteWave Format,Publication Date: TBD,,
GEOG,1113,87173,403,Geosystems (LoosePgs)(w/ModMasteringGeography Access),Required Choose Only 1 of 2,"New $236.25,",Edition: 10th,ISBN: 9780134784335,Author: Christopherson,Publisher: Pearson,,Copyright Year: 2018,Publication Date: TBD
GEOG,1113,87173,403,Modified Mastering Geography with Pearson eText -- Standalone Access Card -- for Geosystems: An Introduction to Physical Geography,Required Choose Only 1 of 2,"Digital $126.75,",Edition: 10th,ISBN: 9780134642536,Author: Birkeland,Publisher: Pearson,Formats: BryteWave Format,Publication Date: TBD,
NURS,4110,90299,403,Maternity & Pediatric Nursing (Course Point+ Enhanced Access Card),Required,"New $306.65,",Edition: 4th,ISBN: 9781975156794,Author: Ricci,Publisher: Wolters Kluwer Health / Lippincott Williams & Wilkins,,Copyright Year: 2021,Publication Date: TBD
BIOL,1103,91664,403,"Modified Mastering Biology with eText Electronic Access Code for Biology: Science for Life with Physiology, 6e, for GEORGIA STATE UNIVERSITY",Required,"Digital $66.75,",ISBN: 9780138304577,Author: Solutions,Publisher: Pearson,Formats: BryteWave Format,Publication Date: TBD,,
CPS,3200,82009,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
BIOL,3440,92524,403,Evolution,Required,"Used $87.26, Digital $57.99, Used $156.00, New $207.75, Digital $121.99,",Edition: 3rd,ISBN: 9781319079864,Author: Emlen,Publisher: W. H. Freeman & Company,"Formats: PAPERBACK, BryteWave Format",Copyright Year: 2019,Publication Date: TBD
MATH,1401,86693,403,"Elementary Statistics, Online only (GSU Main Campus)",Required,"Digital $40.00,",Edition: 2nd,ISBN: 9781954152175,Author: Open Learning Initiative,Publisher: Open Learning Initiative/Carnegie Mellon Univ,Formats: Adobe Ebook Reader,Copyright Year: 2020,Publication Date: TBD
PSYC,2030,89117,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
