0,1,2,3,4,5,6,7,8,9,10,11,12,13
APSX,4002,11850,403,NO BOOKS FOR COURSE,,,,,,,,,
APTB,1000,10041,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CER,8400,16966,403,NO BOOKS FOR COURSE,,,,,,,,,
APTB,3001,14816,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CSC,6520,17805,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,3001,11837,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,3001,14826,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTB,3001,11684,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTB,2002,14814,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTB,2002,11683,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTB,2001,11682,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTB,2001,14813,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CHEM,8900A,17799,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
COMM,6910,17453,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2002,11695,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,3001,20670,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,3001,14825,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,3001,14827,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,3001,20669,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2002,20668,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CHEM,8900P,20651,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2001,11835,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2001,11694,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CSD,7910,12537,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2001,20665,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2001,20666,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2001,14822,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2002,20667,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,2002,14823,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,3002,14831,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APSX,3002,15552,403,NO BOOKS FOR COURSE,,,,,,,,,
PHYS,4999,13043,403,NO BOOKS FOR COURSE,,,,,,,,,
BMSC,6970,21744,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APSX,4002,14812,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,4002,11675,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,4001,11674,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,4001,14808,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,4001,14809,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,4001,14810,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,4001,11849,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,4001,15565,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,3002,14807,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,3002,15553,403,NO BOOKS FOR COURSE,,,,,,,,,
APSX,3002,15554,403,NO BOOKS FOR COURSE,,,,,,,,,
POLS,4290,22177,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CSC,8910,14938,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CSC,8910,15140,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CSC,8910,15138,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CSC,8910,15041,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CSC,8910,15141,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APVC,3001,11933,403,Anatomy of the Voice,Required,"Used $9.98, New $19.96, Used $18.75, New $24.95,",ISBN: 9781623171971,Author: Dimon,Publisher: North Atlantic Books,Formats: PAPERBACK,Copyright Year: 2018,Publication Date: TBD,
APVC,3001,11933,403,On the Art of Singing,Required,"Digital $30.54, Digital $35.24, New $75.00, Digital $46.99,",ISBN: 9780195098259,Author: Miller,Publisher: Oxford University Press C/O INGRAM DISTRIBUTION SOLUTIONS,Formats: BryteWave Format,Copyright Year: 1996,Publication Date: TBD,
APVC,3001,11933,403,Audition Success,Required,"Digital $27.12, Digital $32.06, New $36.95, Digital $36.99, Digital $36.99,",ISBN: 9780878301218,Author: Greene,Publisher: Routledge,"Formats: PAPERBACK, BryteWave Format",Copyright Year: 2001,Publication Date: TBD,
APVC,3001,11933,403,Sing Legato,Required,"New $4.50,",ISBN: 9780849741524,Author: Jennings,Publisher: Neil A. Kjos Music Company (EMAIL ORDERS),,Publication Date: TBD,,
APVC,3001,11933,403,Nurtured by Love,Required,"Used $10.50, New $13.99,",ISBN: 9780874875843,Author: Suzuki,"Publisher: Alfred Publishing Company, Incorporated",Formats: PAPERBACK,Copyright Year: 1983,Publication Date: TBD,
APOR,3002,15006,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,3002,15005,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
AAS,8950,22066,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,3002,15004,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
AAS,8950,22064,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
AAS,8950,22063,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,3001,15003,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
AAS,8950,22062,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
AAS,8950,22060,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
AAS,6098,22228,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,4001,15007,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
IB,8400,10231,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,4002,11699,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,4002,11840,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,1000,11334,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,4002,15010,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,1001,11704,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,4001,15009,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,2001,11706,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
PHOT,4980,15250,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,4001,15008,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
AAS,6098,22509,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,4002,15011,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,2001,14998,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,4001,14846,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,2001,14997,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,4001,11710,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,4002,11711,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,4002,14847,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APVA,1000,10045,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,1002,14996,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,1001,14995,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOB,4002,11641,403,NO BOOKS FOR COURSE,,,,,,,,,
APOB,4002,14759,403,NO BOOKS FOR COURSE,,,,,,,,,
APVA,2001,14848,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APVA,2001,11718,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOB,4001,11640,403,NO BOOKS FOR COURSE,,,,,,,,,
APOB,4001,14757,403,NO BOOKS FOR COURSE,,,,,,,,,
APTU,4001,14845,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,2002,15000,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
AAS,6042,18870,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
SOCI,3390,21559,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,2001,14839,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,2002,14840,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,3001,14841,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
PHOT,4930,13873,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,3001,15002,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
PHOT,4930,14524,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,3001,11708,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,3001,15001,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,3001,14842,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
SOCI,3390,20775,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,3002,14843,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTU,3002,14844,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APOR,2002,14999,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,4002,14838,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APTP,4002,20678,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APVA,2002,14849,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
HS,8900,17771,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APCL,6000,10027,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APCE,8004,11524,403,NO BOOKS FOR COURSE,,,,,,,,,
APCE,8003,11523,403,NO BOOKS FOR COURSE,,,,,,,,,
APCE,8001,11521,403,NO BOOKS FOR COURSE,,,,,,,,,
APPR,1001,11881,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
SW,3005,12562,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APCE,6000,10025,403,NO BOOKS FOR COURSE,,,,,,,,,
APTP,4001,14834,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APBS,8004,11508,403,NO BOOKS FOR COURSE,,,,,,,,,
APCL,8001,11533,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APBS,8002,11506,403,NO BOOKS FOR COURSE,,,,,,,,,
APCL,8003,11535,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APCD,8001,11892,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APPR,2002,11925,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APPR,2001,14778,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APPR,2001,14779,403,NO BOOKS FOR COURSE,,,,,,,,,
APPR,2001,11883,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APCD,6000,10023,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APPR,2001,11660,403,NO BOOKS FOR COURSE,,,,,,,,,
APCD,6000,10987,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APCP,8004,11539,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APCP,8003,11538,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
APPR,1002,11659,403,NO BOOKS FOR COURSE,,,,,,,,,
